Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Targeting of Internet Research Agency,2/26/2019,U.S. Cyber Command,"U.S. Cyber Command conducted operations to disable online activities of the Internet Research Agency (IRA), a Russia-based company closely affiliated to the Russian government that conducts information operations. The operation was meant to prevent the IRA from interfering in the 2018 U.S. midterm elections.",,Russia,United States of America,Sabotage,Private sector,,,
Compromise of Bahraini government agencies and critical infrastructure,8/7/2019,,"A threat actor broke into the systems of Bahrain's National Security Agency, Ministry of Interior, and office of the first deputy prime minister. On July 25, 2019, Bahraini authorities detected intrusions into its electric and water authority that shut down several systems. The attacks were similar to two hacks in 2012, in which the Shamoon virus was used to knock Qatar's natural gas firm RasGas offline and wipe data from the hard drives at Saudi Aramco, Saudi Arabia's national oil company.",,Bahrain,Iran (Islamic Republic of),Sabotage,"Government, Private sector",https://www.wsj.com/articles/high-level-cyber-intrusions-hit-bahrain-amid-tensions-with-iran-11565202488,https://www.forbes.com/sites/zakdoffman/2019/08/08/iranian-hackers-suspected-of-cyberattacks-on-bahrain-sending-message-beyond-the-gulf-report/#55cc36a8324b,
"Targeting of telecom companies across Africa, Europe, and Southeast Asia",12/12/2019,Gallium,"Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.",,"Telecom companies in Africa, Europe, and Southeast Asia",China,Espionage,Private sector,https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/,,
Whitefly,3/6/2019,Believed to be behind the Singapore health-care breach in July 2018.,"This threat actor has been active since mid-2017, targeting mainly health-care, media, telecommunications, and engineering organizations in Singapore, in addition to multinational companies with a presence in the country. The group has also targeted defense, telecommunications, and energy companies in Russia, the United Kingdom, and Southeast Asia. The group relies on a combination of custom malware, open-source hacking tools, and legitimate applications to achieve its goals.",,"Singapore, Russia, United Kingdom",,,"Government, Private sector",https://www.securityweek.com/massive-singapore-healthcare-breach-linked-whitefly-cyberspy-group,https://www.symantec.com/blogs/threat-intelligence/whitefly-espionage-singapore,https://www.reuters.com/article/singapore-cyberattack-symantec/state-sponsored-espionage-group-whitefly-behind-major-singapore-cyberattack-report-idUSL1N20T03V
U.S. retaliation against Iran,10/16/2019,Government of the United States,The United States carried out a cyberattack against Iran designed to limit Tehran?? ability to spread propaganda in retaliation for the September 14attacks on Saudi oil facilities.,,Iran,United States,Data destruction,Government,https://www.reuters.com/article/us-usa-iran-military-cyber-exclusive/exclusive-u-s-carried-out-secret-cyber-strike-on-iran-in-wake-of-saudi-oil-attack-officials-say-idUSKBN1WV0EK,,
Attack of  Japanese companies with links to China,11/29/2019,Bronze Butler,China-linked espionage group Bronze Butler targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.,,Japanese organizations with subsidiaries in China,China,Espionage,Private sector,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/,,
Targeting of Moroccan activists,10/10/2019,Government of Morocco,Amnesty International released a report showing how Morocco?? government used the NSO Group?? Pegasus malware to target two human rights activists in Morocco.,,"Maati Monjib, an academic and activist, and Abdessadak El Bouchattaoui, a human rights lawyer",Morocco,Espionage,Civil society,https://www.amnesty.org/en/latest/research/2019/10/morocco-human-rights-defenders-targeted-with-nso-groups-spyware/,,
Targeting of secure messaging app used by Hong Kong protesters,6/13/2019,Hong Kong police,"Hong Kong authorities used a network of Chinese computers to track protesters' organizing activity on Telegram, a secure messaging app.",,Hong Kong,Hong Kong,Espionage,Civil society,https://www.bloomberg.com/news/articles/2019-08-31/hong-kong-cyber-attack-briefly-disrupts-key-protester-forum,https://www.nytimes.com/2019/06/13/world/asia/hong-kong-telegram-protests.html,
Gallium,12/12/2019,,Gallium is a possibly China-linked threat actor that has carried out attacks against telecom companies across the globe.,,,China,,,https://www.bleepingcomputer.com/news/security/microsoft-warns-of-gallium-threat-group-attacking-global-telcos/,https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/,
2019 Indonesian elections,3/12/2019,Believed to be the work of Russian and Chinese hackers.,Senior Indonesian election officials accused Chinese and Russian hackers of manipulating and modifying Indonesia's voter data base to disrupt the presidential elections.,,Indonesia,"China, Russian Federation",Espionage,Government,https://www.bloomberg.com/news/articles/2019-03-12/indonesia-says-poll-under-attack-from-chinese-russian-hackers,https://www.reuters.com/article/us-indonesia-election/indonesia-says-cyber-attacks-wont-disrupt-elections-idUSKBN1QU135,
Compromise of Airbus suppliers,9/26/2019,Believed to be the work of APT 10 or the Jiangsu Province Ministry of State Security.,"A threat actor targeted virtual private networks (VPNs) used by suppliers of European aerospace company Airbus with a series of attacks. The attacks resulted in unauthorized access to data, including the theft of documents related to Airbus's military transport plane A400M, designed with one of the most powerful propeller engines in the world.",,Airbus,China,Espionage,Private sector,https://www.france24.com/en/20190926-airbus-hit-by-series-of-cyber-attacks-on-suppliers,https://www.reuters.com/article/us-airbus-cyberattack-report/hackers-tried-to-steal-airbus-secrets-via-contractors-afp-idUSKBN1WB0U9,
Targeting of European ministries,10/17/2019,the Dukes,"Believed to have gone dark, Russian threat actor the Dukes targeted the ministries of foreign affairs of three European countries and a European Union (EU) country embassy in the United States with malware.",,Ministries of foreign affairs of three European countries and an EU country embassy in the United States,Russian Federation,Espionage,Government,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,https://www.thedailybeast.com/the-dukes-russian-intels-cyber-unit-that-went-dark-after-dnc-hack-is-still-spying?ref=scroll,
"Targeting of the Australian Parliament, including the Liberal, National, and Labor Parties",8/15/2019,China?? Ministry of State Security,A threat actor targeted the computer network of the Parliament of Australia. The hackers breached the Parliament's network and the networks of the three largest political parties.,,,China,Espionage,,https://www.reuters.com/article/us-australia-china-cyber-exclusive/exclusive-australia-concluded-china-was-behind-hack-on-parliament-political-parties-sources-idUSKBN1W00VF,https://www.theguardian.com/australia-news/2019/feb/08/asio-australian-security-services-hack-data-breach-investigate-attempted-cyber-attack-parliament,
Targeting of South Korean macOS users,11/20/2019,Lazarus Group,The North Korean threat actor Lazarus Group targeted South Korean macOS users with a new malware variant.,,South Korean macOS users,Korea (Democratic People's Republic of),Espionage,,https://blog.trendmicro.com/trendlabs-security-intelligence/mac-backdoor-linked-to-lazarus-targets-korean-users/,,
Compromise of websites related to Uighur communities,9/3/2019,"Believed to be the work of at least two unnamed APT groups, including Evil Eye","Multiple threat actors compromised and exploited eleven websites that published news and cultural information related to the Uighur populations in China, particularly the East Turkestan region. The threat actors imitated the domains of Google, the Turkistan Times, and the Uyghur Academy, and used Google applications to gain access to Gmail accounts. Among other sensitive details collected were the hacked devices??unique identification numbers, phone numbers, locations, central processing unit (CPU) data, and usernames.",,China,China,Espionage,Civil society,https://www.cyberscoop.com/china-uyghur-hacking-china-android-iphone/,https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,
Attack on forum of Hong Kong protesters,12/4/2019,Chinese government,China?? government used its ??reat Cannon??distributed denial of service (DDOS) system for the first time in two years to attack a forum where Hong Kong residents organized protests.,,Hong Kong protesters,China,Denial of service,"Civil society, Private sector",https://www.zdnet.com/article/china-resurrects-great-cannon-for-ddos-attacks-on-hong-kong-forum/,https://cybersecurity.att.com/blogs/labs-research/the-great-cannon-has-been-deployed-again,
Chinese intelligence repurposed NSA tools to attack private companies,5/6/2019,APT 3,The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.,,"Belgium, Luxembourg, The Philippines, and Vietnam",China,Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit,,
Targeting of European and North American aerospace companies,10/14/2019,Believed to be the work of Turbine Panda,A threat actor conducted a multiyear espionage effort aimed at the theft of intellectual property from European and North American aerospace companies to further the development of China's C919 aircraft.,,,China,Espionage,Private sector,https://www.crowdstrike.com/blog/huge-fan-of-your-work-part-1/,https://www.csoonline.com/article/3445230/china-supported-c919-airliner-development-through-cyberespionage.html,
Hijacking of Iranian hacking infrastructure,10/21/2019,Turla,The Russian threat actor Turla took over an Iranian espionage operation belonging to Iranian-linked APT 34 (aka Oilrig) and used it to attack a number of targets while masquerading as Iran.,,"Military, government, scientific organizations, and universities in the Middle East and across the world",Russian Federation,Espionage,"Military, Government, Civil society",https://www.ft.com/content/b947b46a-f342-11e9-a79c-bc9acae3b654,https://www.reuters.com/article/us-russia-cyber/hacking-the-hackers-russian-group-hijacked-iranian-spying-operation-officials-say-idUSKBN1X00AK,https://www.bbc.com/news/technology-50103378
KINGDOM,10/12/2019,,"This threat actor, believed to be linked to Saudi Arabia, targets?Saudi dissidents and foreign journalists with NSO Group's Pegasus malware.?",,"Saudi Arabian dissidents, , Foreign journalists",Saudi Arabia,,,https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,
Targeting of enterprise VPN servers from Fortinet and Pulse Secure,9/5/2019,"Believed to be the work of APT 5, also known as Manganese, and several other threat groups.",Multiple threat actors targeted secure sockets layer (SSL) virtual private network (VPN) servers provided by cybersecurity companies Fortinet and Pulse Secure. It is uncertain whether the attacks were successful.,,,China,,Private sector,,,
Bypassing of two-factor authentication,12/19/2019,APT 20,A China-aligned attacker bypassed virtual private network (VPN) accounts protected by two-factor authentication to attack governments and managed service providers in a multitude of industries.,,"Governments and managed service providers in the U.S., Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, and the United Kingdom",China,Espionage,"Government, Private sector",https://resources.fox-it.com/rs/170-CAK-271/images/201912_Report_Operation_Wocao.pdf,https://www.zdnet.com/article/chinese-hacker-group-caught-bypassing-2fa/,
Compromise of Amnesty International Hong Kong,4/15/2019,APTs associated with Beijing,This threat actor compromised Amnesty International Hong Kong's system to steal the personal information of supporters.,,Amnesty International Hong Kong,China,Espionage,Civil society,https://www.amnesty.org/en/latest/news/2019/04/state-sponsored-cyber-attack-hong-kong/,,
Targeting of Avast,10/21/2019,Government of China,"China-aligned hackers breached Czech-based Avast?? network, aiming to compromise the CCleaner tool, which had previously been compromised in 2017.",,Avast,China,Espionage,Private sector,https://www.reuters.com/article/us-avast-cyber/avast-target-of-cyber-security-attack-company-and-czech-counterintelligence-say-idUSKBN1X01KS,https://www.zdnet.com/article/avast-says-hackers-breached-internal-network-through-compromised-vpn-profile/,
DarkUniverse,11/5/2019,,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",,,Russian Federation,,"Private sector, Military",https://securelist.com/darkuniverse-the-mysterious-apt-framework-27/94897/,,
Global hijacking of domain name system (DNS),1/9/2019,Suspected to be the work of Iranian actors.,An unknown actor with a connection to Iran hijacked DNS records to target the traffic of governments and telecommunications organizations around the world.,,"United States, South Korea, Canada, Lebanon , United Arab Emirates",Iran (Islamic Republic of),Espionage,Private sector,https://www.wired.com/story/iran-dns-hijacking/,https://www.fireeye.com/blog/threat-research/2019/01/global-dns-hijacking-campaign-dns-record-manipulation-at-scale.html,https://blog.talosintelligence.com/2018/11/dnspionage-campaign-targets-middle-east.html
Surveillance of individuals in the United Arab Emirates (UAE) and globally,12/22/2019,Government of the UAE,"ToTok, a popular Emirati messaging app, was revealed to be a mass surveillance tool used by the Emirati government.",,Millions of individuals in the UAE and globally,United Arab Emirates,Espionage,Civil society,https://www.nytimes.com/2019/12/22/us/politics/totok-app-uae.html,https://www.theverge.com/2020/1/6/21051977/to-tok-app-google-play-store-uae-spying-privacy,
Compromise of British infrastructure,4/2/2019,Iranian Revolutionary Guard,"A threat actor compromised the British Post Office and local government networks, stealing personal data??ncluding email addresses and mobile phone numbers??f thousands of employees.",Confirmation   https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055,British Post Office and local government networks,Iran (Islamic Republic of),Espionage,Government,https://www.mirror.co.uk/news/uk-news/major-cyber-attack-uk-infrastructure-14226055,,
Targeting of embassies and foreign ministries in Eastern Europe and Central Asia,8/20/2019,"Believed to be the work of Sednit, also known as APT 28, Fancy Bear, and Strontium.","A threat actor targeted embassies and foreign ministries in Eastern Europe and Central Asia with a phishing campaign that deployed a form of Zebrocy malware on computers, creating backdoors.?",,,Russian Federation,,Government,https://www.cyberscoop.com/russia-zebrocy-eset/,https://www.welivesecurity.com/2019/09/24/no-summer-vacations-zebrocy/,
Large-scale attacks against Georgia,10/28/2019,Sandworm,Russian group Sandworm carried out large-scale cyberattacks against targets in Georgia.,,"Georgian government, courts, nongovernmental organizations, media, and businesses",Russian Federation,Sabotage,"Government, Private sector, Civil society",https://www.nytimes.com/2020/02/20/world/europe/georgia-cyberattack-russia.html,https://www.gov.uk/government/news/uk-condemns-russias-gru-over-georgia-cyber-attacks,https://www.gov.pl/web/diplomacy/statement-of-the-polish-mfa-on-cyberattacks-against-georgia
Compromise of Indian nuclear power plant,11/12/2019,Lazarus Group,"Devices on a noncritical administrative network in a nuclear power plant in Tamil Nadu, India, were compromised by DTrack, a remote access Trojan (RAT) associated with the Lazarus Group.",,Noncritical devices in an Indian nuclear power plant,Korea (Democratic People's Republic of),Espionage,Government,https://dragos.com/blog/industry-news/assessment-of-reported-malware-infection-at-nuclear-facility/,https://usa.kaspersky.com/about/press-releases/2019_dtrack-previously-unknown-spy-tool-hits-financial-institutions-and-research-centers,https://www.washingtonpost.com/politics/2019/11/04/an-indian-nuclear-power-plant-suffered-cyberattack-heres-what-you-need-know/
Attempted attack on the Democratic National Convention (DNC) during 2018 elections,1/18/2019,Suspected to be the work of the Dukes.?,The DNC alleged it was targeted in an unsuccessful cyberattack eight days after the 2018 elections in an attempted spear-phishing campaign.,,Democratic National Committee,Russian Federation,Espionage,Civil society,https://www.wsj.com/articles/dnc-says-russia-tried-to-hack-into-its-computer-network-days-after-2018-midterms-11547831410,https://www.axios.com/democrats-dnc-hacking-russia-0814744d-c885-411c-a73e-234699229879.html,https://www.nytimes.com/2019/01/18/technology/dnc-russian-hacking.html
"Targeting of over sixty universities in multiple countries, including the United States and United Kingdom",9/11/2019,Believed to be the work of Cobalt Dickens.,"A threat actor launched a phishing operation with spoofed login pages to steal the credentials of users at over sixty universities in the United States, United Kingdom, and elsewhere.",,"United States, United Kingdom, Australia, Canada, Hong Kong, Switzerland",Iran (Islamic Republic of),Espionage,"Civil society, Private sector",https://www.secureworks.com/blog/cobalt-dickens-goes-back-to-school-again,https://www.cyberscoop.com/cobalt-dickens-iran-universities-hacking-secureworks/,
Targeting of industrial control systems,11/23/2019,APT 33,"Iran-aligned threat actor APT 33 targeted industrial control system manufacturers, suppliers, and maintainers.",,"Industrial control systems manufacturers, suppliers, and maintainers",Iran (Islamic Republic of),Espionage,Private sector,https://arstechnica.com/information-technology/2019/11/a-notorious-iranian-hacking-crew-is-targeting-industrial-control-systems/,https://www.cyberscoop.com/apt33-microsoft-iran-ics/,
Compromise of Bayer Pharmaceuticals,4/4/2019,Wicked Panda,"A threat actor put malicious software on Bayer's computer system but did not steal any information, as reported by the company.",,Bayer Pharmaceuticals,China,Data destruction,Private sector,https://www.cyberscoop.com/bayer-breached-china-wicked-panda/,,
Targeting of senior members of Tibetan groups,9/24/2019,Believed to be the work of Poison Carp.,"A threat actor aimed to infect mobile phones belonging to senior members of Tibetan groups, including people who worked directly for the Dalai Lama and lawmakers in Tibet's parliament. The threat actor posed as a human rights worker or journalist and contacted victims through WhatsApp. The campaign involved Android browser vulnerabilities and Android and iOS spyware. The tools appeared in similar attacks, discovered in September, carried out against China's Uighur population.",,Tibet,China,Espionage,"Civil society, Government",https://www.cyberscoop.com/tibet-citizen-lab-spyware-espionage/,https://www.reuters.com/article/us-china-cyber-tibetans/chinese-hackers-who-pursued-uighurs-also-targeted-tibetans-researchers-idUSKBN1W90XN,https://citizenlab.ca/2019/09/poison-carp-tibetan-groups-targeted-with-1-click-mobile-exploits/
Targeting of Japanese organizations,10/2/2019,APT 17 and Bronze Butler,Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.,,Japanese organizations,China,Espionage,Private sector,https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/,,
"Targeting of German energy technology, chemicals, and consumer goods companies, among others",7/24/2019,Believed to be the work of Winnti.,"A threat actor used a?Trojan horse to gain?remote backdoor access to German energy technology company Siemens, chemical firm BASF, and consumer goods company Henkel. Non-German companies Roche, Lion Air, and Marriott were also targeted.",,Germany,China,Espionage,Private sector,https://www.reuters.com/article/us-germany-cyber/basf-siemens-henkel-roche-target-of-cyber-attacks-idUSKCN1UJ147,https://www.ibtimes.com/cyber-war-news-german-companies-siemens-basf-hit-alleged-chinese-cyberattacks-2808573,
Targeting of nongovernmental organizations and political and law enforcement agencies in East and South Asia,12/29/2019,Bronze President,"The China-affiliated threat actor Bronze President attacked nongovernmental organizations, political agencies, and law enforcement in Mongolia and India, among other countries.",,,China,Espionage,"Government, Civil society",https://www.secureworks.com/research/bronze-president-targets-ngos,,
Cyber espionage by the United Arab Emirates (UAE),1/30/2019,Believed to be the work of the UAE government.,"Former U.S. government intelligence operatives working for the UAE used the spying tool Karma to hack the iPhones of activists, diplomats, and rival foreign leaders.

?",,"Qatar, Turkey, Yemen",United Arab Emirates,Espionage,"Government, Civil society",https://www.reuters.com/article/us-usa-spying-karma-exclusive/exclusive-uae-used-cyber-super-weapon-to-spy-on-iphones-of-foes-idUSKCN1PO1AN,https://www.nbcnews.com/tech/security/how-uae-used-u-s-mercenaries-cyber-super-weapon-spy-n964436,
Targeting of U.S. university and think tank with BabyShark malware,2/22/2019,,"A threat actor used the malware BabyShark, which uses infrastructure associated with North Korean campaigns. The malware was delivered in November 2018 via spear-phishing emails written to appear as though they were sent from a nuclear security expert who works as a consultant for the U.S. government. The subject of the emails referenced North Korea's nuclear program.",,,Korea (Democratic People's Republic of),Espionage,Private sector,https://unit42.paloaltonetworks.com/new-babyshark-malware-targets-u-s-national-security-think-tanks/,,
Targeting of Middle Eastern oil companies,12/4/2019,APT 34,"Using a new wiper malware called ZeroCleare, Iranian-linked threat actor APT 34 (aka Oilrig) targeted oil companies in the Middle East.",,Oil companies in the Middle East,Iran (Islamic Republic of),Data destruction,Private sector,https://www.ibm.com/downloads/cas/OAJ4VZNJ,,
Operation Soft Cell,6/25/2019,APT 10,"This threat actor hacked global telecommunications companies for personal data of government officials, activists, and dissidents of interest to Beijing.",,Global telecommunications companies,China,Espionage,Private sector,https://www.cybereason.com/blog/operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers,,
Poison Carp,9/24/2019,Also known as Evil Eye,"This threat actor has targeted senior members of Tibetan groups by sending malicious links in WhatsApp messages, while posing as nongovernmental organization workers, journalists, or other fake personas.",,"Tibetans , Uighurs",China,Espionage,"Civil society, Government",https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,https://citizenlab.ca/2016/01/citizen-lab-palo-alto-networks-scarlet-mimic,
PKplug,10/3/2019,China,A Chinese-linked threat actor group active in Southeast Asia,,,China,,,https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/,,
Targeting of investigative journalists at Bellingcat,7/26/2019,Believed to be the work of Fancy Bear.,A threat actor conducted a phishing attack on investigative journalists at Bellingcat who have been probing Russian intelligence activities.,,,Russian Federation,Espionage,Private sector,https://www.ft.com/content/876fb2d8-af92-11e9-8030-530adfa879c2,https://threatconnect.com/blog/building-out-protonmail-spoofed-infrastructure/,
Compromise of Kazakh individuals,11/23/2019,Golden Falcon,The Russian-speaking threat actor Golden Falcon used a combination of purchased and developed tools to compromise numerous individuals in Kazakhstan and a few in China.,,Numerous Kazakh government officials and private individuals and some Chinese individuals,,Espionage,Government,https://www.zdnet.com/article/extensive-hacking-operation-discovered-in-kazakhstan/,http://blogs.360.cn/post/APT-C-34_Golden_Falcon.html,
Compromise of computer networks associated with the 2018 Pyeongchang Winter Olympics,2/12/2018,,"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",,Republic of Korea,Russian Federation,Sabotage,Civil society,http://blog.talosintelligence.com/2018/02/olympic-destroyer.html,https://www.washingtonpost.com/world/national-security/russian-spies-hacked-the-olympics-and-tried-to-make-it-look-like-north-korea-did-it-us-officials-say/2018/02/24/44b5468e-18f2-11e8-92c9-376b4fe57ff7_story.html,https://securelist.com/olympicdestroyer-is-here-to-trick-the-industry/84295/
Thrip,6/19/2018,Also known as Billbug and Lotus Blossom.,"This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",,United States,China,Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,https://www.reuters.com/article/us-china-usa-cyber/china-based-campaign-breached-satellite-defense-companies-symantec-idUSKBN1JF2X0,
Targeting of Omar Abdulaziz,10/1/2018,,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",,Omar Abdulaziz,Saudi Arabia,Espionage,Civil society,https://citizenlab.ca/2018/10/the-kingdom-came-to-canada-how-saudi-linked-digital-espionage-reached-canadian-soil/,,
Compromise of Mongolian government data center,6/13/2018,,A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.,,Mongolia,China,Espionage,Government,https://www.cyberscoop.com/apt27-mongolia-kaspersky/,https://securelist.com/luckymouse-hits-national-data-center/86083/,
Targeting of North Korean defectors and journalists,5/15/2018,Believed to be associated with the Lazarus Group,"A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",,South Korea,Korea (Democratic People's Republic of),Espionage,Civil society,https://securingtomorrow.mcafee.com/mcafee-labs/north-korean-defectors-journalists-targeted-using-social-networks-kakaotalk/,https://www.cyberscoop.com/new-hacking-campaign-targets-north-korean-defectors-in-south-korea/,https://securingtomorrow.mcafee.com/mcafee-labs/malware-on-google-play-targets-north-korean-defectors/
Gorgon Group,8/2/2018,,Also known as Aggah. This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.,,"United States, Spain, Russian Federation, United Kingdom",,Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/08/unit42-gorgon-group-slithering-nation-state-cybercrime/,,
Targeting of the Parliament of Australia,12/7/2018,Unknown,"An attack targeted computer systems in both houses of the Parliament of Australia. The systems of the ruling Liberal-National Coalition Party and Labor, the main opposition party, were compromised, but there is no evidence of electoral interference.",,Australia,,,Government,https://www.wsj.com/articles/iran-blamed-for-cyberattack-on-australias-parliament-11550736796,http://fortune.com/2019/02/18/australia-parliament-hack/,https://www.nytimes.com/2019/02/07/world/australia/cyberattack-parliament-hack.html
APT 37,2/20/2018,"Also known as Reaper, Group 123, and ScarCruft","This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",,"Republic of Korea, Japan, Vietnam",Korea (Democratic People's Republic of),,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2018/02/apt37-overlooked-north-korean-actor.html,https://blog.talosintelligence.com/2018/01/korea-in-crosshairs.html,https://researchcenter.paloaltonetworks.com/2018/04/unit42-reaper-groups-updated-mobile-arsenal/
Targeting of German critical infrastructure sectors,6/7/2018,Believed to be the work of Crouching Yeti,"A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany?? domestic intelligence agency accused Russia of controlling the targeting campaign.",Denouncement   https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,Germany,Russian Federation,Espionage,Private sector,https://www.verfassungsschutz.de/embed/broschuere-2018-06-bfv-cyber-brief-2018-01-neu.pdf,https://www.reuters.com/article/us-germany-cyber-russia/german-intelligence-sees-russia-behind-hack-of-energy-firms-media-report-idUSKBN1JG2X2,
Targeting of congressional campaigns for the 2018 U.S. midterm elections,7/19/2018,Believed to be the work of APT 28,A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.,,Candidates for the U.S. Congress,Russian Federation,Espionage,Government,https://www.youtube.com/watch?v=NlCJokZcwJA,https://www.cyberscoop.com/microsoft-reveals-first-known-russian-hacking-attempt-aimed-2018-midterms/,
Alleged Russian compromise of networking equipment,4/16/2018,Believed to be associated with Sandworm. Also known as VPNFilter.,"The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.",Sanctions   https://home.treasury.gov/news/press-releases/sm0410,"Worldwide, United States, United Kingdom, Ukraine",Russian Federation,Sabotage,Private sector,https://www.us-cert.gov/ncas/alerts/TA18-106A,https://blog.talosintelligence.com/2018/05/VPNFilter.html,https://arstechnica.com/information-technology/2018/06/vpnfilter-malware-infecting-50000-devices-is-worse-than-we-thought/
Compromise of an air-gapped German government network,2/28/2018,,"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.",Denouncement   https://www.reuters.com/article/us-germany-security/moscow-likely-behind-hack-on-german-govt-spy-chief-says-idUSKBN1HI19D,Germany,Russian Federation,Espionage,Government,http://www.dw.com/en/germany-admits-hackers-infiltrated-federal-ministries-russian-group-suspected/a-42775517,https://twitter.com/RidT/status/969585432567611393,http://www.spiegel.de/international/germany/cyber-espionage-likely-from-russia-targets-german-government-a-1196520.html
RedAlpha,6/26/2018,"Believed to use similar infrastructure as the NetTraveler, Icefog, and APT 17 threat actors","This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",,India,China,Espionage,Civil society,https://www.recordedfuture.com/redalpha-cyber-campaigns/,,
Targeting of Yahya Assiri,8/1/2018,,"A threat actor targeted Yahya Assiri, a critic of the Kingdom of Saudi Arabia and a researcher at Amnesty International, for espionage purposes. The threat actor used the Pegasus tool, created by the NSO Group.",,Yahya Assiri,Saudi Arabia,Espionage,Civil society,https://www.amnesty.org/en/latest/research/2018/08/amnesty-international-among-targets-of-nso-powered-campaign/,,
"Compromise of SingHealth, a large health-care provider in Singapore",7/20/2018,Believed to be the work of Whitefly.?,"A threat actor compromises the networks of SingHealth, the largest health-care provider in Singapore. Personal data of over 1.5 million patients was compromised, including the pharmaceutical prescriptions of 160,000 people.",,SingHealth,,Espionage,Private sector,https://www.reuters.com/article/us-singapore-cyberattack/singapore-disconnects-healthcare-computers-from-the-internet-after-cyber-attack-idUSKBN1KE15X,https://www.straitstimes.com/politics/parliament-singhealth-attack-due-to-apt-group-typically-linked-to-foreign-governments-says,
Targeting of South Korean actors prior to meeting of Donald J. Trump and Kim Jong-un,6/5/2018,Believed to be the work of TempTick?and Turla,"Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",,South Korea,"China, Russian Federation",Espionage,Government,https://www.wsj.com/articles/south-korea-fends-off-chinese-russian-cyberattacks-u-s-researcher-says-1528194642,https://www.cyberscoop.com/chinese-russian-hacking-groups-spy-south-korea-amid-u-s-north-korea-peace-talks/,https://www.independent.co.uk/life-style/gadgets-and-tech/news/trump-us-north-korea-summit-kim-jong-un-hackers-china-russia-a8384586.html
